,name,genre
0, Venom: Let There Be Carnage (2021),Action
1, The Many Saints of Newark (2021),Crime
2, Titane (2021),Drama
3, Old Henry (2021),Thriller
4, No Time to Die (2021),Action
5, The Rescue (2021),Documentary
6, Mass (2021),Drama
7, Halloween Kills (2021),Horror
8, Bergman Island (2021),Drama
9, Hard Luck Love Song (2020),Drama
10, Dune (2021),Action
11, Ron's Gone Wrong (2021),Animation
12, Warning (2021),Sci-Fi
13, Antlers (2021),Drama
14, My Hero Academia: World Heroes' Mission (2021),Animation
15, A Mouthful of Air (2021),Drama
16, Planet Dune (2021),Action
17, The Addams Family 2 (2021),Animation
18, Mayday (2021),Drama
19, The Jesus Music (2021),Documentary
20, Lamb (2021),Drama
21, South of Heaven (2021),Action
22, Survive the Game (2021),Action
23, The Last Duel (2021),Action
24, Needle in a Timestack (2021),Drama
25, Extinct (2021),Animation
26, The French Dispatch (2021),Comedy
27, Broadcast Signal Intrusion (2021),Crime
28, Cloudy Mountain (2021),Action
29, Last Night in Soho (2021),Drama
30, The Souvenir: Part II (2021),Drama
31, 13 Minutes (2021),Action
